Pre-TAVI Predictor,Post-TAVI Outcome,Spearman ρ,p-value,Sig (α=0.05),Sig (Bonferroni)
Pre-TAVI Infarcts,Microhaemorrhage,0.459,0.1817,,
Pre-TAVI Infarcts,Cerebellum,0.274,0.4434,,
Fazekas Score,Right Hemisphere,-0.260,0.4680,,
Fazekas Score,Microhaemorrhage,0.257,0.4742,,
Fazekas Score,Subcortical,-0.222,0.5379,,
Pre-TAVI Infarcts,Cortical,0.167,0.6446,,
Fazekas Score,Total New Infarcts,-0.151,0.6767,,
Pre-TAVI Infarcts,Left Hemisphere,0.148,0.6827,,
Pre-TAVI Infarcts,Total New Infarcts,0.103,0.7768,,
Fazekas Score,Left Hemisphere,-0.074,0.8387,,
Fazekas Score,Cerebellum,0.060,0.8684,,
Pre-TAVI Infarcts,Subcortical,0.026,0.9431,,
Pre-TAVI Infarcts,Right Hemisphere,-0.004,0.9922,,
Fazekas Score,Cortical,0.003,0.9926,,
